Price,House_Type,Area,Bedrooms,Bathrooms,Receptions,Location,County,Central_London_Flag,Area_Classifier
700000,Flat / Apartment,875,2,2,2,Wandsworth,London,No,small
700000,Flat / Apartment,606,2,2,2,Islington,London,Yes,small
695000,Flat / Apartment,796,2,2,2,Islington,London,Yes,small
1299000,Flat / Apartment,827,2,2,2,City Of London,London,Yes,small
595000,Flat / Apartment,786,2,2,2,Richmond,Surrey,No,small
450000,Flat / Apartment,570,2,2,2,Wandsworth,London,No,small
550000,Flat / Apartment,672,2,2,2,Wandsworth,London,No,small
599950,Flat / Apartment,734,1,1,1,Islington,London,No,small
650000,Flat / Apartment,667,1,1,1,Islington,London,No,small
850000,House,900,2,2,2,Hammersmith and Fulham,London,No,small
1195000,Flat / Apartment,752,2,2,2,Kensington and Chelsea,London,No,small
950000,Flat / Apartment,973,2,2,2,Tower Hamlets,London,No,small
1050000,New development,817,2,2,2,Hammersmith and Fulham,London,No,small
695000,New development,678,2,2,2,Hammersmith and Fulham,London,No,small
425000,Flat / Apartment,502,1,1,1,Westminster,London,No,small
439000,Flat / Apartment,670,2,2,2,Wandsworth,London,No,small
599950,Flat / Apartment,689,1,1,1,Lambeth,London,No,small
625000,Flat / Apartment,513,1,1,1,Islington,London,No,small
499999,Flat / Apartment,700,1,1,1,Hackney,London,No,small
435000,Flat / Apartment,565,1,1,1,Hackney,London,No,small
850000,Flat / Apartment,743,2,2,2,Camden,London,No,small
650000,Flat / Apartment,650,2,2,2,Hammersmith and Fulham,London,No,small
1395000,Flat / Apartment,981,2,2,2,Hammersmith and Fulham,London,No,small
475000,Flat / Apartment,705,2,2,2,Wandsworth,London,No,small
695000,Flat / Apartment,815,2,2,2,Wandsworth,London,No,small
750000,Flat / Apartment,838,2,2,2,Lambeth,London,No,small
599950,Flat / Apartment,657,2,2,2,Islington,London,No,small
850000,Flat / Apartment,655,1,1,1,Tower Hamlets,London,No,small
599950,Flat / Apartment,830,3,3,3,Wandsworth,London,No,small
675000,Flat / Apartment,602,2,2,2,Westminster,London,No,small
735000,Flat / Apartment,953,2,2,2,Camden,London,No,small
500000,Flat / Apartment,675,1,1,1,Islington,London,No,small
600000,New development,721,2,2,2,Hackney,London,No,small
590000,Flat / Apartment,702,2,2,2,Hackney,London,No,small
550000,House,674,2,2,2,Kensington and Chelsea,London,No,small
475000,Flat / Apartment,645,2,2,2,Surbiton,Surrey,No,small
425000,New development,603,1,1,1,East Molesey,Surrey,No,small
599000,Flat / Apartment,830,2,2,2,Tower Hamlets,London,No,small
650000,Flat / Apartment,779,2,2,2,Merton,London,No,small
599950,Flat / Apartment,969,3,3,3,Wandsworth,London,No,small
465000,Flat / Apartment,461,1,1,1,Wandsworth,London,No,small
749950,Flat / Apartment,650,2,2,2,Camden,London,No,small
650000,Flat / Apartment,684,2,2,2,Wandsworth,London,No,small
775000,Flat / Apartment,928,2,2,2,Wandsworth,London,No,small
625000,Flat / Apartment,676,1,1,1,Hackney,London,No,small
775000,Flat / Apartment,936,2,2,2,Richmond Upon Thames,London,No,small
350000,Flat / Apartment,670,2,2,2,Westminster,London,No,small
765000,Duplex,992,2,2,2,Wandsworth,London,No,small
1350000,Mews,993,2,2,2,Westminster,London,Yes,small
575000,New development,840,2,2,2,Islington,London,No,small
555000,New development,753,2,2,2,East Molesey,Surrey,No,small
550000,New development,773,2,2,2,Tower Hamlets,London,No,small
399950,Flat / Apartment,580,2,2,2,Hounslow,London,No,small
595000,New development,545,1,1,1,Wandsworth,London,No,small
675000,Flat / Apartment,778,2,2,2,Southwark,London,No,small
765000,New development,864,2,2,2,Merton,London,No,small
835000,Flat / Apartment,651,1,1,1,Westminster,London,No,small
499950,Flat / Apartment,388,1,1,1,Hackney,London,No,small
835000,Flat / Apartment,704,2,2,2,Islington,London,Yes,small
700000,Flat / Apartment,680,1,1,1,Hammersmith and Fulham,London,No,small
380000,Flat / Apartment,420,1,1,1,Hackney,London,No,small
710000,New development,818,2,2,2,Haringey,London,No,small
915000,New development,810,2,2,2,Hammersmith and Fulham,London,No,small
425000,Flat / Apartment,495,1,1,1,Islington,London,No,small
499950,Flat / Apartment,656,2,2,2,Islington,London,No,small
550000,Flat / Apartment,853,2,2,2,Hounslow,London,No,small
550000,Flat / Apartment,500,1,1,1,Kensington and Chelsea,London,No,small
375000,Flat / Apartment,515,1,1,1,Merton,London,No,small
450000,Flat / Apartment,790,2,2,2,Woodford Green,Essex,No,small
